healpix, glon, glat, ra, dec
421, 153.44598, -10.90048, 54.84375, 41.81031
422, 151.71990, -12.13893, 52.03125, 41.81031
423, 151.79376, -10.12168, 53.70968, 43.40686
424, 149.88675, -15.21446, 47.81250, 40.22818
425, 149.93764, -13.31021, 49.21875, 41.81031
426, 148.10019, -14.41104, 46.40625, 41.81031
427, 148.22448, -12.47508, 47.90323, 43.40686
428, 150.03736, -11.33421, 50.80645, 43.40686
429, 150.13979, -9.33867, 52.50000, 44.99388
430, 148.35251, -10.52240, 49.50000, 44.99388
431, 148.48223, -8.55006, 51.20690, 46.57185
432, 153.49265, -8.84091, 56.61290, 43.40686
433, 153.53901, -6.75614, 58.50000, 44.99388
434, 151.86898, -8.08207, 55.50000, 44.99388
435, 151.94259, -6.01679, 57.41379, 46.57185
436, 153.58155, -4.64271, 60.51724, 46.57185
437, 153.61619, -2.49685, 62.67857, 48.14121
438, 152.01111, -3.92225, 59.46429, 48.14121
439, 152.07044, -1.79452, 61.66667, 49.70239
440, 150.24244, -7.32049, 54.31034, 46.57185
441, 150.34238, -5.27622, 56.25000, 48.14121
442, 148.61121, -6.55484, 53.03571, 48.14121
443, 148.73662, -4.53319, 55.00000, 49.70239
444, 150.43618, -3.20214, 58.33333, 49.70239
445, 150.51968, -1.09412, 60.57692, 51.25581
446, 148.85502, -2.48124, 57.11538, 51.25581
447, 148.96224, -0.39468, 59.40000, 52.80185
448, 159.70428, -3.10252, 68.22581, 43.40686
449, 159.61756, -0.82910, 70.50000, 44.99388
450, 158.18850, -2.39752, 67.50000, 44.99388
451, 158.12493, -0.13481, 69.82759, 46.57185
452, 159.51396, 1.48445, 72.93103, 46.57185
453, 159.38613, 3.84217, 75.53571, 48.14121
454, 158.04205, 2.16934, 72.32143, 48.14121
455, 157.93215, 4.51919, 75.00000, 49.70239
456, 156.67310, -1.69810, 66.72414, 46.57185
457, 156.63217, 0.55275, 69.10714, 48.14121
458, 155.15675, -1.00390, 65.89286, 48.14121
459, 155.13804, 1.23384, 68.33333, 49.70239
460, 156.56960, 2.84640, 71.66667, 49.70239
461, 156.47730, 5.18734, 74.42308, 51.25581
462, 155.09548, 3.51579, 70.96154, 51.25581
463, 155.02057, 5.84670, 73.80000, 52.80185
464, 159.22520, 6.24830, 78.33333, 49.70239
465, 159.02026, 8.70715, 81.34615, 51.25581
466, 157.78582, 6.91919, 77.88462, 51.25581
467, 157.59144, 9.37386, 81.00000, 52.80185
468, 158.75784, 11.22295, 84.60000, 52.80185
469, 158.42099, 13.79968, 88.12500, 54.34091
470, 157.33445, 11.88766, 84.37500, 54.34091
471, 156.99645, 14.46468, 88.04348, 55.87335
472, 156.34528, 7.58027, 77.40000, 52.80185
473, 156.16108, 10.02997, 80.62500, 54.34091
474, 154.90268, 8.23154, 76.87500, 54.34091
475, 154.72844, 10.67537, 80.21739, 55.87335
476, 155.90899, 12.54110, 84.13043, 55.87335
477, 155.56895, 15.11790, 87.95455, 57.39952
478, 154.48083, 13.18310, 83.86364, 57.39952
479, 154.13795, 15.75913, 87.85714, 58.91978
480, 153.63806, -0.31448, 65.00000, 49.70239
481, 153.64125, 1.90880, 67.50000, 51.25581
482, 152.11558, 0.37070, 64.03846, 51.25581
483, 152.14046, 2.57803, 66.60000, 52.80185
484, 153.61853, 4.17773, 70.20000, 52.80185
485, 153.56092, 6.49737, 73.12500, 54.34091
486, 152.13751, 4.83252, 69.37500, 54.34091
487, 152.09725, 7.13952, 72.39130, 55.87335
488, 150.58780, 1.05232, 63.00000, 52.80185
489, 150.63425, 3.24209, 65.62500, 54.34091
490, 149.05310, 1.73122, 61.87500, 54.34091
491, 149.12109, 3.90164, 64.56522, 55.87335
492, 150.65112, 5.48053, 68.47826, 55.87335
493, 150.62842, 7.77336, 71.59091, 57.39952
494, 149.15798, 6.12226, 67.50000, 57.39952
495, 149.15319, 8.39922, 70.71429, 58.91978
496, 153.45711, 8.87299, 76.30435, 55.87335
497, 153.29274, 11.30996, 79.77273, 57.39952
498, 152.00764, 9.50466, 75.68182, 57.39952
499, 151.85321, 11.93369, 79.28571, 58.91978
500, 153.04933, 13.81350, 83.57143, 58.91978
501, 152.70291, 16.38818, 87.75000, 60.43444
502, 151.61388, 14.43214, 83.25000, 60.43444
503, 151.26334, 17.00483, 87.63158, 61.94384
504, 150.55329, 10.12663, 75.00000, 58.91978
505, 150.40906, 12.54648, 78.75000, 60.43444
506, 149.09301, 10.73902, 74.25000, 60.43444
507, 148.95945, 13.14832, 78.15789, 61.94384
508, 150.17386, 15.03887, 82.89474, 61.94384
509, 149.81873, 17.60884, 87.50000, 63.44828
510, 148.72865, 15.63352, 82.50000, 63.44828
511, 148.36863, 18.20001, 87.35294, 64.94808
512, 134.95074, -41.22769, 22.50000, 20.74238
513, 136.27982, -39.69942, 23.90625, 22.02431
514, 132.94334, -40.20629, 21.09375, 22.02431
515, 134.29694, -38.70130, 22.50000, 23.31796
516, 137.51464, -38.13919, 25.31250, 23.31796
517, 138.65911, -36.54863, 26.71875, 24.62432
518, 135.55694, -37.16180, 23.90625, 24.62432
519, 136.72679, -35.58939, 25.31250, 25.94448
520, 131.02229, -39.12436, 19.68750, 23.31796
521, 132.39552, -37.64144, 21.09375, 24.62432
522, 129.18827, -37.98383, 18.28125, 24.62432
523, 130.57667, -36.52152, 19.68750, 25.94448
524, 133.67616, -36.12145, 22.50000, 25.94448
525, 134.86718, -34.56598, 23.90625, 27.27961
526, 131.87378, -35.01960, 21.09375, 27.27961
527, 133.08207, -33.47959, 22.50000, 28.63099
528, 139.71672, -34.92916, 28.12500, 25.94448
529, 140.69061, -33.28203, 29.53125, 27.27961
530, 137.80958, -33.98548, 26.71875, 27.27961
531, 138.80810, -32.35131, 28.12500, 28.63099
532, 141.58347, -31.60830, 30.93750, 28.63099
533, 142.39762, -29.90886, 32.34375, 30.00000
